"date","Pixel16500453","Pixel16470453","Pixel16500454","Pixel16470454"
"28-May-00",10.570002792,10.598825448,11.31056928,10.782109728
"29-May-00",4.283056128,4.083418248,4.137513048,5.685718776
"30-May-00",0.22064796,0.51156624,0.281242896,0.499582296
"31-May-00",2.524260888,2.714621544,2.248129416,0.99686292
"01-Jun-00",3.584506992,3.879456648,3.90844596,4.235547792
"02-Jun-00",2.366100672,2.133846576,2.95063716,2.163863544
"03-Jun-00",5.26409268,6.340803624,6.386102208,3.713903184
"04-Jun-00",9.839165208,11.2750368,9.787363536,14.478775968
"05-Jun-00",16.238807208,18.421883592,21.451807032,13.644626136
"06-Jun-00",12.939538488,15.30495072,18.37865496,11.92756104
"07-Jun-00",9.918839688,10.009926792,7.820373768,8.589154968
"08-Jun-00",5.575793976,4.440540072,4.13670516,2.449516128
"09-Jun-00",13.785152424,16.807778832,11.12598324,13.438681128
"10-Jun-00",0,0,0,0
"11-Jun-00",0.321833472,0.04465008,0.364152432,0.178025976
"12-Jun-00",0.10295424,0.033035232,0.099750744,0
"13-Jun-00",0.025614384,0.062380872,0.026519328,0.010925616
"14-Jun-00",0.683203512,0.585334224,0.787667064,2.958398592
"15-Jun-00",6.370993128,6.226073736,5.75274288,6.624261624
"16-Jun-00",2.372444976,0.845875296,3.058990368,1.621400544
"17-Jun-00",4.265671848,3.774958488,3.785786736,3.465569256
"18-Jun-00",0,0,0,0
"19-Jun-00",0.083405064,0.023578176,0.052799184,0
"20-Jun-00",10.519776816,9.206487168,8.083554984,11.480271576
"21-Jun-00",20.907311448,20.149080288,22.337800032,21.030708792
"22-Jun-00",1.33027536,1.538605032,0.804409872,1.572481512
"23-Jun-00",0,0,0,0
"24-Jun-00",0.124126344,0.156975816,0.12160248,0.15371124
"25-Jun-00",0.260655984,0.539512968,0.578632872,0.318628824
"26-Jun-00",0.112554864,0.183400344,0,0.115594728
"27-Jun-00",0.461274456,0.363790368,0.57138888,0.374827416
"28-Jun-00",0,0,0,0
"29-Jun-00",0.182288712,0.097937136,1.45241028,0.102322656
"30-Jun-00",0.11313336,0.144390048,0.071167008,0.140787264
"01-Jul-00",0.994507224,0.036946344,0.028246584,0.03602448
"02-Jul-00",2.094389328,1.924310808,2.35421508,2.102167896
"03-Jul-00",0.402009744,0.48680712,0.69334476,0.71176188
"04-Jul-00",16.72163916,15.216503616,17.981616504,17.640456672
"05-Jul-00",0,1.567119072,0,0
"06-Jul-00",0,0,0,0
"07-Jul-00",0.131683152,0.071342232,0.136456296,0.074200848
"08-Jul-00",0.112299192,0.14285148,0.10990452,0.147147552
"09-Jul-00",1.433208336,0.480566208,1.531673496,0.58998492
"10-Jul-00",5.817895536,4.68650472,5.788857216,4.310095656
"11-Jul-00",1.986516048,1.69231368,2.28832716,1.955675472
"12-Jul-00",0.29573964,0.119688168,0.3859422,0.244550208
"13-Jul-00",3.571235064,3.66996468,3.15417444,3.169551024
"14-Jul-00",0.948622488,1.194122136,1.161032256,1.086968952
"15-Jul-00",0.608058264,0.793545672,0.611943168,0.798635784
"16-Jul-00",0.550164792,0.459607968,0.547514016,0.460599984
"17-Jul-00",0,0,0,0.573872616
"18-Jul-00",0,0,0,0
"19-Jul-00",0,0,0,0
"20-Jul-00",22.661570544,23.3381796,22.729631424,22.583810808
"21-Jul-00",13.335787296,13.670175072,12.749093064,13.114962096
