"date","Pixel15990475","Pixel15990476","Pixel15990474","Pixel16020473","Pixel16080474","Pixel16080475","Pixel16080476","Pixel16050473","Pixel16050475","Pixel16020475","Pixel16020476","Pixel16050476","Pixel16020474","Pixel16050474"
"30-Mar-00",14.95784712,10.497272736,15.542986392,16.4531064,15.919302456,14.14823628,13.648680216,18.261950976,17.41159344,17.552350056,13.848595608,14.696793072,17.860928544,17.451046944
"31-Mar-00",4.292650944,5.898222696,12.3030138,4.454168208,0.301460832,0.366641232,1.051333584,0.7259472,1.02408,3.259419672,4.923091296,0.3311532,4.467294576,1.009362912
"01-Apr-00",2.764087728,1.593280608,3.84997344,4.612900608,1.400505336,2.12354796,0.726099288,3.812937144,4.694060688,3.143513568,1.626609384,3.502441752,4.270900368,3.762676824
"02-Apr-00",39.610104552,34.765431408,42.781150824,45.366193776,39.635416032,37.856377608,32.460145008,45.754566192,40.227124224,40.13755416,34.995077136,34.902800568,43.799134248,44.222451216
"03-Apr-00",13.070873736,13.30781364,12.7953558,10.587558744,12.267249576,12.287442696,12.677663328,11.056446072,12.068552976,12.7238202,11.649692784,11.998633872,12.351541032,11.90436672
"04-Apr-00",0.972212352,0.583627704,0.842989944,0.444390672,0.350722824,1.267383816,0.453568656,0.141098616,0.241721376,0.18329388,0.036471816,2.719902096,0.201913632,0.259822656
"05-Apr-00",10.141072512,19.9354062,62.883499152,20.715079296,33.885998736,28.325858112,24.4552374,24.148896216,16.339734072,12.725572584,11.0218134,15.927636624,18.737884992,23.488092888
"06-Apr-00",29.340751656,34.757941248,26.530228608,32.847464568,39.031216632,35.310278904,37.935899736,31.252198224,27.846364968,30.006500256,34.299479496,37.688787456,28.799411784,31.237878792
"07-Apr-00",2.484155232,1.188321504,4.38562596,7.857602832,13.601687904,12.539038176,12.000381936,7.175889024,10.050252912,7.379026656,4.943451048,5.191334016,4.652030832,15.65865756
"08-Apr-00",0.019908504,0.102168216,0,0,4.85502612,10.6994748,5.917168368,2.277730632,0.0679758,0,0.230476128,0.675516936,0,1.411691136
"09-Apr-00",9.462314856,6.439271448,13.093587408,13.123685352,12.14780616,11.815758696,8.238260496,10.797399048,12.448781496,11.395683288,7.531228776,9.091376784,11.728404528,12.341085432
"10-Apr-00",0.556503024,0.3181662,0.090375672,0.288678696,1.859140824,1.732475112,1.216313928,1.507783056,1.033655232,0.139554552,0,0.534799704,0.284135328,1.429924152
"11-Apr-00",7.413629304,10.5570774,3.638381832,5.29155708,8.671038144,10.227622032,9.13116288,5.112529272,8.568962568,8.664614448,13.741511832,10.045457832,6.290433888,5.741248728
"12-Apr-00",9.619602432,8.933859576,7.200146904,4.742016432,4.132213344,7.02555228,6.773905272,3.034575096,5.737066992,8.03355288,8.210350512,6.434904096,5.777214648,4.262313
"13-Apr-00",0.3463344,0.274765536,0.02853492,0.081431304,0.013318176,0,0,0.020989608,0,0.03446016,0.252651408,0,0.094265784,0.033034512
"14-Apr-00",0.51767556,0.642434208,0.351401376,0,0,13.189342968,0.030126576,0,0,0.523710912,0.315476472,0,0,0
"15-Apr-00",8.545969248,7.31942796,7.826090088,10.303609368,8.955776448,8.50959276,9.419917344,10.625126112,9.068390616,9.176853408,7.488944304,8.588571312,10.246969704,10.461995592
"16-Apr-00",8.869418616,5.268024456,6.116819136,4.417455552,3.519509904,3.19806612,4.32089316,9.042362448,3.621248592,3.870973704,4.67877852,4.4632548,4.100870856,3.616978536
"17-Apr-00",2.397448896,2.402097528,1.127544792,0.345807432,0,1.18625244,0.28121604,0.364021224,1.175647704,1.98034536,2.186403216,0.472088856,0.987021888,0.37073784
"18-Apr-00",0,0,0,0,0.0877188,0.076838712,0.083961144,0,0,0,0,0,0,0
"19-Apr-00",2.820509784,4.347609768,2.411250648,2.570782728,6.367686504,6.581019408,7.840004688,4.258385544,4.70683872,2.95582152,5.178458688,5.4124428,2.516679168,4.342542888
"20-Apr-00",41.831391336,18.334051608,20.197351464,25.021270752,25.162980072,22.969240656,20.261695872,29.18036556,33.687154776,26.466004368,18.671417712,20.776833048,21.119233128,33.250737192
"21-Apr-00",15.055292136,7.718518488,11.7689538,8.714094408,4.498725048,7.464096312,4.762662648,11.909702544,13.31067324,14.697232248,7.89227844,7.901456592,16.791569712,15.195546624
"22-Apr-00",0.207231696,2.65356624,0.3028368,0.092711256,1.98097908,2.0016312,3.66748308,0.42976092,0.591101688,0.875986224,0.669880416,0.94034904,0.096736512,0.550856568
