"date","Pixel16020484","Pixel16050485","Pixel16050484","Pixel16050486","Pixel16110480","Pixel16080480","Pixel16110483","Pixel16110484","Pixel16080484","Pixel16050483","Pixel16110481","Pixel16080481","Pixel16140483","Pixel16050482","Pixel16080482","Pixel16050480","Pixel16080479","Pixel16080485","Pixel16110485","Pixel16110482","Pixel16080486","Pixel16050481","Pixel16080483","Pixel16140484","Pixel16140480","Pixel16020481","Pixel16020483"
"01-Mar-00",0,0.715865856,1.343697936,0.682603512,7.291887048,5.253521928,3.124152312,1.618594416,2.366990448,2.183047224,5.691781992,4.301866296,3.150312072,2.171650536,3.373180032,3.401441928,6.572073696,1.20103536,1.951506432,3.911704656,0.972746544,2.420953632,3.162311904,4.135641936,8.63589048,0.64615824,0.181120296
"02-Mar-00",6.075852144,7.086079368,4.354426152,7.582501176,4.787875056,4.617228264,5.550295464,6.589757688,5.21295048,3.845332152,6.154275648,4.639273872,6.983654736,4.017188784,4.658003568,4.199945568,4.142827752,7.627728216,7.865493528,5.818120128,8.264589072,4.16169048,4.726443528,7.64302968,9.305952792,4.78830492,4.958325144
"03-Mar-00",20.903673648,5.84924484,5.761144272,6.005905872,7.94836236,5.230972776,10.042063248,6.547928088,9.8892324,10.968824376,18.63372516,17.975701344,5.970135216,13.522263048,22.675711152,7.650043488,2.776890096,10.496571768,5.54577684,12.441051,38.272627824,11.466958512,14.623256208,5.031079896,4.73037564,7.053111792,7.986789456
"04-Mar-00",13.22605848,12.324052344,11.813769576,6.581927064,11.256491664,10.65790272,12.141018384,9.440900088,9.684701448,11.42112852,12.501068112,11.871339792,13.608700272,10.8897822,34.919491776,13.995925416,8.289459936,6.283170456,9.726420168,13.73667096,5.447814696,16.225952616,11.79672576,11.715092184,16.231620312,20.245253568,15.450787056
"05-Mar-00",11.811208968,9.884094,10.5627594,10.581292392,9.295492896,10.763563152,10.103064528,11.001402144,12.333003048,10.279220592,9.957005016,11.496871944,10.13750124,10.917928224,11.857136256,11.796226512,13.313408376,13.08082152,10.885597224,9.021133656,10.414297344,9.431758392,11.738037576,10.268395896,9.707043888,9.948779592,9.09155988
"06-Mar-00",0.711782544,5.18756784,1.2976884,1.360173768,8.043693072,6.590799096,3.586081272,3.1426152,2.494182768,2.257785744,5.82860256,4.083346008,4.060778256,1.753854624,2.086554936,6.540028104,9.10813092,2.18270124,2.76665568,5.382363792,1.643803056,3.887869488,2.92974312,5.729266752,8.371599912,4.832583552,1.407975816
"07-Mar-00",14.825839512,10.076524248,13.087645056,8.036114208,11.35672332,11.845240128,12.4546194,12.251535408,12.867228984,12.654037008,11.470595592,12.708231936,10.501291752,12.611447808,12.716003904,12.750546456,12.47558784,10.129454616,10.3936236,11.592749832,7.811641224,13.005838392,13.023480888,9.023340936,11.200640208,12.884652624,14.931278232
"08-Mar-00",10.502198688,11.476924896,10.621223688,11.140069488,13.867176528,11.571561096,10.512221568,8.625075096,8.255755656,12.71917392,13.172028072,13.793180472,9.28499364,12.526727208,13.561659336,24.457652088,7.22260308,12.14701224,10.854326256,12.46156884,11.127928728,23.376163968,10.89339852,9.977562192,7.749579192,9.659581656,11.623493664
"09-Mar-00",4.808174736,22.468693248,4.3812282,5.310945504,8.745184416,6.925442208,4.509738576,4.470361944,3.436350336,6.610970736,11.59637832,11.209856976,3.528390528,6.642582168,9.85393668,22.127612112,11.559518328,3.16311372,5.441025864,7.119417432,5.752088064,7.543735752,4.368934032,2.742280128,9.357611424,8.249869824,5.442212112
"10-Mar-00",8.285040384,9.63502764,12.082107072,5.703656664,8.080452192,8.513676168,8.175469632,8.82655764,7.639527072,11.000060328,6.961042632,7.173824784,10.855792512,8.133894672,7.154775384,10.514785776,6.350763552,7.067618616,8.581794984,8.348474976,6.012336024,8.602794888,7.160660496,9.517698528,25.303487784,6.63635088,7.979711304
"11-Mar-00",0.140660952,0.919228608,1.016523072,0.6512196,0.840033,0.599591112,0.59929272,0.61703784,0.620936616,0.33921228,0.625694952,0.39179748,0.604448592,0.24333588,0.339333024,0.708855,0.695452896,0.721537032,0.438118776,0.584127408,0.735684168,0.18498444,0.473023776,0.334192776,1.10391588,0.201814968,0.189354816
"12-Mar-00",1.076642712,0,0,0.015956616,1.45374084,1.61044104,0,0.01694436,0,0.515959464,0.920248488,0.486887088,0.019990704,3.041361096,1.757175384,1.871661,1.3929948,0,0.381402432,0.177324624,0.021410064,0.582572088,0,0.777277896,1.165013112,1.587433752,1.590017448
"13-Mar-00",17.620252128,19.75063848,19.452738768,19.107573504,5.80059456,6.381501672,18.058409208,18.562846176,18.71014308,18.130246632,10.16098308,7.159857264,18.147223944,12.589648248,12.530051712,5.368167408,5.551461696,18.758367072,18.790715208,14.293145664,18.149604312,9.190668576,18.072345264,18.533745288,7.665307752,7.10882664,14.231743824
"14-Mar-00",9.982043976,15.277589328,10.104417792,6.607342968,4.02587664,3.995550504,7.080089808,7.176729432,7.132845648,5.62163652,6.776935824,5.075386752,7.058851008,5.580304752,11.47413468,4.69498908,3.529185888,11.310909744,11.042384136,11.45861148,5.573290584,5.11946832,7.091749896,7.042454472,4.031021832,5.235625872,5.908156512
"15-Mar-00",8.290259592,9.697938672,8.988173952,8.611451616,11.511126984,11.939525832,13.346644872,12.563547144,10.815361968,10.000546944,13.060945992,9.072580584,14.739325056,10.964212416,9.999972576,8.835507624,5.696283456,10.078350312,12.847733976,14.2719984,16.517613888,10.099737168,10.341095928,11.404150488,8.697516912,9.908200968,6.612856152
"16-Mar-00",3.58400988,3.575502984,3.396957984,4.314829944,3.151486872,4.636867392,1.628424,2.383398408,2.399261352,3.233242392,2.292551112,2.720619504,3.1931988,2.872355808,2.690601816,4.144190664,4.079949984,2.907394776,3.605355264,2.395787352,4.947019464,2.935515408,2.345225208,4.536253104,1.486672464,3.352103952,3.655789368
"17-Mar-00",3.887401704,5.166060096,4.46770692,5.439104328,6.639583104,5.77600836,7.626927144,7.452710856,6.78308988,4.58246112,7.391881224,6.452424288,7.301448576,5.377221096,7.225455528,4.417969464,5.81148792,6.54276252,5.462205648,7.480032216,6.485569248,5.352495432,7.247155656,6.572869056,9.989328144,4.923371664,3.15482784
"18-Mar-00",22.460463528,25.788728712,23.869032384,29.686540608,20.0962944,18.707167632,27.151740072,27.50706768,26.241963384,23.306692608,23.739068976,22.765055184,27.1885128,22.837838184,25.329949368,15.560953608,16.371783264,28.414672848,29.792115216,25.677598008,32.24958228,20.544540888,25.740900984,27.738518712,19.883271216,19.294013496,22.329823488
"19-Mar-00",0.199296696,0.0687846,0.19869672,0.042960504,0.603918984,0.473556288,1.616803224,1.480322952,0.3417642,0.28264956,0.370714176,0.482816712,0,0.478346808,0.220415904,0.16451352,0.661073496,0.135222336,0.034061232,0.362738136,0.084749352,0.102140952,2.529319872,0,0.360119688,0.058897272,0.073190664
"20-Mar-00",4.716202488,2.939576616,2.952287976,13.984354008,5.732170344,11.084322456,4.687369104,3.711801768,5.157853608,3.24685728,2.637351384,11.631215568,6.339374544,4.559337264,9.485085,6.293195496,4.821261048,19.71691848,5.56093956,2.362759896,11.064293136,4.550743824,9.027457944,7.572378864,5.45380068,6.696132648,8.203149312
"21-Mar-00",8.257568832,12.884026056,9.566561232,15.374480736,4.642532232,5.273072712,7.746646632,8.994539736,15.645162096,8.062827576,6.656906616,7.11519456,5.85309864,7.748283144,8.216805696,4.886588208,4.05505692,20.3483448,10.524268632,7.709309568,17.72582532,6.134856456,9.444664488,6.624646416,3.406835328,7.05981804,8.91111732
"22-Mar-00",0.683726544,1.031786976,1.226349312,1.29236976,2.132583072,1.671673896,1.94855064,1.545576456,1.11674184,1.359225144,1.293279552,0.974353824,1.250554392,0.966765312,0.833048616,2.630159136,1.374759264,1.34338536,2.294512152,1.581456,1.444201656,2.675035008,1.799755992,1.47192264,2.516729424,1.049625096,1.072936272
