"date","Pixel16350457","Pixel16380457","Pixel16440453","Pixel16440454","Pixel16440455","Pixel16380456","Pixel16410456","Pixel16470453","Pixel16530454","Pixel16500454","Pixel16560456","Pixel16530455","Pixel16410457","Pixel16440457","Pixel16440458","Pixel16410458","Pixel16470454","Pixel16470455","Pixel16500455","Pixel16470458","Pixel16440459","Pixel16470456","Pixel16380458","Pixel16530458","Pixel16350458","Pixel16380459","Pixel16410459","Pixel16470457","Pixel16500457","Pixel16440456","Pixel16470462","Pixel16500456","Pixel16530456"
"01-Mar-00",62.146865856,67.273138056,67.012104024,72.24892044,71.207691192,69.197771064,69.490734096,67.876195896,67.969190592,70.343107224,64.779035568,67.399509432,67.872327816,68.664888384,69.266996376,67.842029568,71.521665576,71.23632432,69.557184216,68.144863128,69.878156664,69.8449974,66.738756168,65.587451928,60.19667244,67.217977512,69.774129864,68.601831432,66.08859444,70.734758376,73.620889656,68.223415368,66.8762226
"02-Mar-00",3.27057768,1.579749768,0,0,0.558895728,1.048678824,0.537095088,0,1.93230396,0.662570136,7.080461736,2.810692368,1.550184672,0.975720936,1.109490216,1.69429368,0,0.658671576,1.247049264,1.357348584,0.964930248,1.123517448,1.586518224,9.38630892,3.132876984,1.962095088,1.050871344,1.450898952,2.41367232,0.803644272,2.408195088,2.093756136,6.07439304
"03-Mar-00",1.164936936,1.521403128,2.261269392,1.534703664,1.03391952,1.118905128,1.598368584,1.220425752,2.528670432,1.461829848,1.822003128,2.090096544,1.24399128,1.885631016,1.776913056,1.337879784,1.17667884,0.951075456,1.474615224,1.250697888,1.303823232,1.594691448,1.812418872,0.518568,0.91587228,1.01298264,1.405085016,1.405097016,1.448327424,1.528385472,0.523075008,2.587980336,1.372789176
"04-Mar-00",8.32996416,16.189943784,10.8258834,13.864100928,14.025931824,13.987767216,12.6400938,12.295247544,16.968665592,14.79712344,19.76138592,15.73805952,18.214721208,14.232257376,15.301993848,15.760983456,21.56910324,23.589194304,13.403793816,14.732302656,17.627137176,15.473855496,12.183208464,17.043381216,8.71717716,12.464783184,14.550149928,13.800959592,12.65297412,15.557002536,15.344550144,12.019908432,20.697323808
"05-Mar-00",15.142775064,14.128528128,19.685887824,19.641407496,15.733490472,17.261625768,14.026684296,21.160095696,21.990071304,19.524574752,17.572365768,20.327570904,12.757302768,11.566376208,10.691428176,10.698416952,19.296811584,16.74814368,17.546124456,10.752789984,6.644265168,12.387379656,13.218511104,15.522195336,13.925562864,11.616120816,10.828315968,11.579918136,13.284381864,12.05501748,2.948237304,20.53211688,15.549761304
"06-Mar-00",6.614238744,9.255929232,5.124054552,5.743856904,8.246862168,7.43709684,16.422204504,5.079606048,8.085141432,7.608000048,11.722975728,14.164385328,10.206495528,9.728467224,8.552456616,7.345363848,5.978862408,9.306946992,8.970661632,10.815126648,10.050177816,18.900405408,8.7567594,17.096813688,6.0172584,9.95300532,10.313655864,21.868520736,10.318819992,12.277768128,18.477011208,22.289970864,14.115041256
"07-Mar-00",3.011292816,4.174675224,0.012593952,0,0,3.668906808,0.07197612,0,2.416297848,1.07519844,10.38991356,10.698991296,3.845164776,5.627572056,6.688441512,6.426293136,0.332234112,0.997775592,2.015411664,7.346396688,5.97000288,1.347611376,5.244919896,15.997937688,3.413061624,4.771184208,6.583642968,3.166649232,8.377846968,1.10162088,10.79260968,2.649832248,9.428906688
"08-Mar-00",2.510487384,5.027237544,2.534875464,3.260436408,3.998570328,5.201644416,4.183517208,5.378613,3.021567816,2.549509056,1.7946276,3.125272032,4.20863844,3.71280492,3.367083912,2.104751952,1.623498744,3.773016936,15.223478784,2.292695232,1.427500416,3.298801296,3.298685784,2.284506984,4.794235824,4.48854804,2.650072944,2.520655464,2.3281272,3.410758128,4.778582808,3.789615504,1.43573856
"09-Mar-00",2.91193164,1.879727304,6.009471408,4.820625552,3.216493248,1.739290776,2.418542688,6.178175208,4.872030624,4.728917952,3.672886848,5.33958828,2.206094568,2.344711656,2.855958048,2.956648176,5.058620448,2.841886632,3.035578608,2.866145256,3.991805424,1.752606504,3.01803588,2.562597144,2.6715864,2.191306656,3.137563344,1.973556336,2.300805864,1.64154036,0,4.239017856,7.289302104
"10-Mar-00",5.53361964,3.314868096,1.663233336,1.958270616,2.27330928,4.7344848,1.43114268,1.658583456,1.501499184,1.6744566,1.03766172,1.468908912,2.935227864,1.2874302,1.87707156,1.99077648,2.148083736,1.99507212,2.005599792,2.56299984,1.9353354,1.942493328,3.879400128,0.781101192,5.485094544,2.563400736,1.252726248,2.300852352,1.733532072,1.782725568,2.972262024,2.414354136,1.615348032
