"date","Pixel15990477","Pixel16110480","Pixel16050480","Pixel16080479","Pixel16140480","Pixel16140476","Pixel16110476","Pixel16140477","Pixel16080476","Pixel16020476","Pixel16050476","Pixel16110479","Pixel16080478","Pixel16110478","Pixel16140478","Pixel16110477","Pixel15990478","Pixel16050478","Pixel16020479","Pixel16050479","Pixel16020478","Pixel16080477","Pixel16050477","Pixel16020477","Pixel16140479","Pixel15990479"
"01-Mar-00",0.139517712,7.291887048,3.401441928,6.572073696,8.63589048,6.90162492,7.89602136,5.297845968,6.135479448,1.812026928,3.568782456,7.624738464,7.241119632,8.1980946,6.677493816,7.82535552,0.781190688,3.935514096,1.204628256,3.656450976,1.739918064,6.664872408,2.859106056,1.27728072,8.948862792,0.146335176
"02-Mar-00",7.617424248,4.787875056,4.199945568,4.142827752,9.305952792,5.906379456,5.18736648,5.6325438,5.61034512,8.375781288,6.75088476,6.206824056,3.785225976,4.048262712,5.3857584,4.975351464,6.991566888,4.376088024,4.813423992,3.98301744,5.669291496,4.400275104,5.971261032,6.701293224,7.236675024,6.119522808
"03-Mar-00",2.277005544,7.94836236,7.650043488,2.776890096,4.73037564,0.573216264,2.90608728,1.752380664,5.60128176,0.669643608,9.074622624,5.936920872,6.6498828,3.570805896,1.987584648,3.01923216,1.873077744,1.104571488,4.026630168,3.10218216,2.198966688,7.171593912,1.994367768,1.26946968,1.517951304,2.839746048
"04-Mar-00",8.822291856,11.256491664,13.995925416,8.289459936,16.231620312,24.346329696,20.414674752,22.466719152,13.8381486,9.398384568,21.805109016,12.67061376,9.603688008,15.377111424,17.948437224,15.565773,10.389224064,11.221732368,8.203059912,13.626807696,8.624640936,13.044214728,12.215991504,11.68555356,15.011067864,27.198074352
"05-Mar-00",9.712250232,9.295492896,11.796226512,13.313408376,9.707043888,8.36591364,8.708282232,8.06313444,10.164432768,10.30041432,10.224311112,7.924974192,11.87419368,9.414165264,8.539819488,9.357935424,11.209955688,11.472445968,11.291152248,14.385828504,11.385981552,10.091394432,10.616903544,11.811638832,9.733835928,11.725441944
"06-Mar-00",9.308053488,8.043693072,6.540028104,9.10813092,8.371599912,8.005683672,11.963315256,8.0409894,12.265770432,6.593939784,8.879432928,11.193097104,9.172137744,8.638230096,8.130879168,11.05345488,7.217205048,12.298812384,8.317809816,7.62535644,13.649830344,10.098391776,11.716240176,6.4882536,9.019721736,6.610076664
"07-Mar-00",13.82579184,11.35672332,12.750546456,12.47558784,11.200640208,12.368855952,12.733022688,13.216662888,11.541908736,11.838237768,11.919661752,11.531940936,12.983884344,11.599791528,13.01261472,11.671939368,14.139304152,12.923230656,12.520905024,13.028273112,12.939537048,12.12414264,13.668019296,12.22029876,12.455060016,14.591876496
"08-Mar-00",5.38613676,13.867176528,24.457652088,7.22260308,7.749579192,5.661028152,5.958393576,6.57605196,13.048397544,8.104267368,9.69330096,11.026581288,6.346065768,4.876135104,8.613382104,6.415447008,5.279185296,9.234777696,7.41314436,7.474814424,6.142222176,12.378946776,10.355909592,4.841514936,8.06557704,6.402421464
"09-Mar-00",12.862622736,8.745184416,22.127612112,11.559518328,9.357611424,16.0082202,14.69899464,12.072994704,13.77010488,11.917460928,37.161801336,10.427930112,14.325194832,13.657434936,10.613639832,12.363913536,11.398735296,11.80287696,11.109671832,18.216895584,12.222383016,30.875521656,13.054976472,13.046672352,11.16256572,12.329147808
"10-Mar-00",5.063909064,8.080452192,10.514785776,6.350763552,25.303487784,4.64437044,3.798583392,4.107931848,4.572313416,5.231099736,5.662641048,6.696965928,7.358845704,7.61278224,5.6268282,3.200929992,8.12068392,7.51565052,12.478962432,11.67024564,7.839917424,6.539063928,4.554846888,5.067273624,7.142835624,12.421377192
"11-Mar-00",0.268071216,0.840033,0.708855,0.695452896,1.10391588,0.508159104,0.52367172,0.630159984,0.504418104,0.235097832,0.65930736,0.706524072,0.569784384,0.664041408,0.8362002,0.682777416,0.202497192,0.5079534,0.305845656,0.406147056,0.35506908,0.439211688,0.521606808,0.315472896,1.180283808,0.098969976
