"date","Pixel15540521","Pixel15570522","Pixel15570521","Pixel15600520","Pixel15630520","Pixel15630519","Pixel15660518","Pixel15630518","Pixel15600519","Pixel15570519","Pixel15600518","Pixel15570518","Pixel15540518","Pixel15540519","Pixel15570520","Pixel15540520"
"26-Mar-00",0.94396332,2.123822976,1.763080008,4.860395184,5.816637048,6.420179136,5.62704528,6.061823136,5.568676464,3.813643464,6.19906068,2.184803904,1.465969752,1.214764416,3.308420784,2.351996352
"27-Mar-00",0.366165888,0.242614824,0.286933704,0.594909216,0.694251984,0.93270636,0.40070316,0.487659792,0.494669832,0.45107004,0.628613136,0.49777248,0.456074904,0.396242472,0.424555872,0.471198984
"28-Mar-00",7.271753304,4.94823576,5.186224584,1.31443584,0.897984168,3.515787,3.064298976,4.308723096,3.781175496,4.156474824,3.775296816,4.066861872,4.239760272,4.382016768,4.490958096,5.389587888
"29-Mar-00",3.903104424,6.70849728,4.89759708,3.751521,6.422045952,5.072843304,4.841383344,4.72348236,4.099227552,4.570247064,6.343403568,7.126090776,5.959630248,5.72609676,3.453992496,5.660957328
"30-Mar-00",0.655072512,0.577183536,0.941563272,3.640624512,2.243029464,2.334125328,3.68447148,2.590502328,1.916906472,0.119559264,0.361177152,0.037490472,0,0.041071848,1.883792448,0
"31-Mar-00",4.54428828,4.250378976,8.639042616,9.364437816,5.047511112,2.316895368,0.928041648,1.767169824,3.99005484,3.66659976,1.034099136,2.03350692,0.841979208,2.937721248,9.94433928,2.719150896
"01-Apr-00",7.725643872,6.979336032,7.809178584,6.132615576,4.90852332,3.690049776,1.982161752,4.520355456,5.834619288,6.971931696,5.81548656,7.094219688,6.045415152,5.218455792,6.179534208,5.335927608
"02-Apr-00",16.50300264,15.36077928,15.016206264,7.288611888,4.837741248,3.095097888,6.399904488,3.2673,5.276392584,5.339239248,4.722317568,6.121760136,5.874600648,7.744134672,8.4361968,15.60373164
"03-Apr-00",21.00059796,19.833107472,20.865397464,15.902283672,14.989070904,15.142204296,13.810765752,15.157769688,15.023307312,16.402321824,15.40094232,16.18385268,17.322894576,15.598289976,16.617002976,16.914211752
"04-Apr-00",28.292132376,25.613862984,28.987930296,29.727484704,24.478034016,31.262154576,22.132312776,27.697417248,32.79733944,36.248296728,31.761677736,34.719317448,35.645562168,37.443726528,33.710509296,35.041131024
"05-Apr-00",14.387590896,14.128709784,11.35225296,7.932436464,13.235276688,6.745498176,5.265081168,16.974600792,8.462327232,10.309088232,8.504966496,8.988676776,10.965685128,9.357612144,9.74625636,9.690778968
"06-Apr-00",14.11154652,9.804777864,14.001916416,19.364315976,3.74904084,2.983787112,3.224639304,6.916589496,6.93985104,7.16871,5.512956624,8.22016884,6.726926568,7.41155076,16.538176056,7.195101504
"07-Apr-00",1.896595896,1.496379288,1.508381904,7.829567664,2.389851984,3.409872648,3.631149888,4.015951752,8.226214896,2.481349296,11.649836544,3.808800816,2.444567808,2.65266324,1.619692872,1.300123848
"08-Apr-00",8.718683472,7.917146448,8.134933224,7.149182088,3.297483096,3.235132104,3.697902552,3.754574424,3.966838368,4.399154304,2.527714488,2.478354864,2.660252808,2.689407696,8.526667368,8.98948788
"09-Apr-00",4.671875232,3.682568904,5.017780776,8.810049528,9.17595648,9.309733632,7.937183616,11.099427216,8.832575088,8.316857808,9.707222712,9.8815062,10.046381952,9.792705048,9.903208488,7.08867144
"10-Apr-00",4.106449848,4.146788472,5.01969732,39.934338576,7.42323804,7.758199464,9.59376168,10.22775936,9.326017848,8.260406256,11.071367736,5.263936752,5.14170456,4.20333552,10.656754728,4.439734344
"11-Apr-00",8.039910072,6.509066832,7.280258424,26.508919704,12.30545712,9.033641328,8.461333752,7.087252368,9.691957704,9.651444912,8.933234448,3.203614704,4.908027288,4.79720844,5.492518536,8.29048848
"12-Apr-00",3.985421064,8.02212096,7.7455902,4.319939376,4.221905352,3.730737456,2.836176384,3.589515576,4.830629112,4.28811444,4.451844336,3.70931232,3.25309788,1.322498472,6.46448208,3.477676752
"13-Apr-00",6.963342912,4.695546984,5.632756944,2.809224672,1.906684032,3.32204712,6.189681528,5.552141184,2.996502768,4.414950024,4.49165976,5.222530968,3.034074072,2.53114968,3.064588656,2.905510968
"14-Apr-00",10.621762272,10.347681288,11.444726952,6.745791432,11.85215592,10.100006112,9.276860472,9.791329632,6.917703144,6.070741656,5.88499188,5.969306952,12.680352696,6.617575416,12.635785104,12.655224312
"15-Apr-00",38.039377224,40.498735416,33.928250304,28.478974344,28.443386088,27.690155976,24.694058424,29.415558816,18.213754176,21.301590432,18.460703376,16.947243696,18.238599312,24.615139968,22.270803456,27.234589584
"16-Apr-00",6.95387436,8.508032088,7.316194296,4.805086968,5.792971728,2.788211352,0.5496528,0.528859776,6.824994576,4.71594072,3.831223368,7.781296488,5.831105952,0.487608936,6.441656832,1.634350944
"17-Apr-00",0.898152432,0.848981736,1.098839352,2.320631136,0.65515728,1.242459576,1.95568692,2.176107456,0.523552392,0.659441208,0.563017224,0.423329832,1.798564728,0.638488368,2.966916384,0.364903248
"18-Apr-00",2.77112388,1.165613112,2.226039816,3.203921568,1.725063624,3.896520504,7.5287304,6.612715968,3.794429904,2.630591688,3.374417424,2.639033856,2.111533824,1.747348488,2.773486008,1.3416912
"19-Apr-00",12.464366904,12.993972312,11.068395864,5.640854352,3.970216512,4.320074208,5.710352544,5.356643208,4.92109752,5.96363712,4.754646072,5.667979728,6.116409312,6.66884208,8.524993656,8.722285512
"20-Apr-00",9.303987264,11.727626328,10.305659304,8.8055892,9.724669944,8.001801264,6.538449528,6.55238628,6.954441552,5.531368008,6.739208928,5.28238536,4.971200832,5.125379208,7.341678864,7.025882016
"21-Apr-00",0.68667228,0.485694456,0.60028956,2.902310184,1.331695224,1.517623728,2.951500656,1.814053056,1.442807256,1.024259184,1.704320496,0.767423712,0.373586784,0.524847408,1.094150208,1.034212848
"22-Apr-00",5.069768424,4.435644864,4.747305744,7.890368712,9.331484568,8.331634272,12.15931176,8.930713896,6.633090744,5.054511672,5.471437104,4.80176748,4.074229368,5.213324184,4.816141968,5.072262528
"23-Apr-00",8.39431644,7.648263216,11.766362424,5.294574744,8.57787108,8.292310248,7.595917224,13.127952576,5.670105096,5.354602584,6.118459944,5.471893776,5.631487008,5.528108232,11.350667952,7.904493576
"24-Apr-00",1.120931544,1.949250336,0.660394464,1.21526904,1.789654968,1.85393268,2.1026076,2.098760256,1.713965712,1.646783712,1.997817816,1.838870832,1.421893632,1.321083792,0.725551752,0.833068632
"25-Apr-00",16.975437648,20.279113776,17.803180224,14.845690728,17.981200224,15.460673328,16.878448968,15.014847288,12.180765144,10.082364312,11.327610264,9.5656464,9.256398432,9.556933872,12.74661684,11.971520664
"26-Apr-00",2.123134008,1.958242176,1.68079824,1.216789584,2.525825856,1.287571008,1.332187056,0.906751872,0.897803304,1.547875104,0.483375816,0.848786208,1.355623752,1.364246976,1.777119216,2.050346736
"27-Apr-00",2.650835568,3.7623918,3.609361056,4.127505888,5.817327264,4.906085736,5.513469816,4.65935148,3.454191696,1.852318344,3.33053148,1.836886704,0.917022936,1.63334172,2.351166672,2.141945784
