"date","Pixel15630525","Pixel15540521","Pixel15540522","Pixel15540524","Pixel15570524","Pixel15600524","Pixel15600525","Pixel15630523","Pixel15600523","Pixel15630524","Pixel15570522","Pixel15570521","Pixel15570523","Pixel15600522","Pixel15540523","Pixel15510523","Pixel15600521","Pixel15630521","Pixel15630522","Pixel15570525","Pixel15600520","Pixel15510524","Pixel15510522"
"01-Mar-00",10.11958908,4.988355528,3.99720312,4.188668856,4.10828376,7.243234632,7.121204136,11.366196144,6.193722,12.936245448,5.17115808,5.436924576,4.47099852,7.013290632,4.392190584,3.808804392,8.636457672,11.610467424,11.784576408,3.767618544,7.2935586,3.111729744,3.966603408
"02-Mar-00",6.34093236,6.741902592,6.098198184,3.580467216,4.170877584,7.913974296,2.965865856,5.983371384,8.533495176,3.953971632,3.300334104,3.873186696,7.941488016,4.993693104,5.547806376,1.883999712,4.82383704,5.841308352,5.541681288,3.811153296,4.298627616,1.27699704,1.690355112
"03-Mar-00",7.422738072,2.938694544,2.776637088,2.04271728,2.07651312,2.141631792,1.307712264,0.434775624,1.62395436,1.344381984,2.4808926,2.290728456,1.1210112,1.945124208,3.351049296,3.76505148,2.143716384,1.814439288,1.306748976,2.392186584,1.413783264,3.294785496,6.730288272
"04-Mar-00",9.97379136,12.044068344,8.024974104,15.324613104,6.108757488,9.262277136,7.557908544,8.838973752,11.036820888,7.794079536,13.941109656,18.617541792,10.237090584,12.4694538,6.561509376,4.389431112,15.766724112,11.20019244,9.667740576,15.976256856,27.258885384,3.843366264,7.156868208
"05-Mar-00",8.168411496,9.982773552,10.733707656,11.693768976,10.299358608,8.815363176,10.98758268,6.851878872,7.636965744,7.475822208,8.440404648,6.912615528,9.08763672,6.74297976,11.741894256,12.149532792,7.336893072,7.791226392,5.719934472,11.73857976,10.171516656,11.905260096,16.946452608
"06-Mar-00",2.554248336,2.327052888,2.416164816,3.208344696,3.369993576,3.279618504,3.407108904,2.341495872,2.925844968,2.172423552,3.031383624,2.917861272,2.993183256,2.854662168,2.746823616,3.269523744,2.548490352,2.14515048,2.377110432,3.232424856,1.056983928,3.282580728,2.754986112
"07-Mar-00",3.109588992,6.017903568,5.01924348,4.451753856,2.683281,2.888164032,2.464949544,3.138518928,3.711768144,3.951181776,4.091836104,4.348585728,4.077631104,4.451337576,4.613552928,4.832367528,4.283976312,3.713921784,3.974888208,3.363245496,5.720719824,5.224844448,6.274875648
"08-Mar-00",4.081279632,4.07255424,4.198746792,3.645461088,4.0798248,3.886817688,4.729789848,4.494676344,3.146772624,3.316009992,4.03960776,4.255194072,4.5700686,3.546428208,4.502504112,3.39093912,4.277119512,4.275513768,3.472447512,4.825088736,4.068359616,4.244723088,2.505730752
"09-Mar-00",0.50760744,0.024912768,0,0.01995384,0.020446104,0.066427344,0.06376092,0.057350904,0.029385072,1.109223168,0,0.03046464,0,0.032107176,0.019449384,0.043921896,0.038948976,0.251956512,0.220472856,0.023291664,0.027164784,0.015213336,0
"10-Mar-00",20.351334576,11.390670072,12.777182568,13.505746368,13.777698048,15.093306552,17.672342784,17.59733676,14.57669736,17.81599332,12.921604152,11.582941536,13.33918332,14.621430864,13.094378472,13.108587744,13.678211688,17.117241384,16.395421032,15.87618972,11.315464488,13.420859808,12.778339872
